activity_id,student_id,student_name,mentor_id,mentor_name,activity_type,readiness_area,activity_date,score_before,score_before_date,score_after,score_after_date,readiness_improvement
assessment_1,6,student1,2,mentor1,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,47,2026-06-01 23:43:54.709071+00,54,2026-06-23 23:43:54.709071+00,7
assessment_2,6,student1,2,mentor1,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,39,2026-06-01 23:43:54.709071+00,50,2026-06-23 23:43:54.709071+00,11
assessment_3,6,student1,2,mentor1,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,54,2026-06-23 23:43:54.709071+00,59,2026-07-15 23:43:54.709071+00,5
assessment_4,6,student1,2,mentor1,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,50,2026-06-23 23:43:54.709071+00,50,2026-07-15 23:43:54.709071+00,0
assessment_5,7,student2,3,mentor2,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,46,2026-06-01 23:43:54.709071+00,58,2026-06-23 23:43:54.709071+00,12
assessment_6,7,student2,3,mentor2,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,45,2026-06-01 23:43:54.709071+00,48,2026-06-23 23:43:54.709071+00,3
assessment_7,7,student2,3,mentor2,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,58,2026-06-23 23:43:54.709071+00,67,2026-07-15 23:43:54.709071+00,9
assessment_8,7,student2,3,mentor2,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,48,2026-06-23 23:43:54.709071+00,60,2026-07-15 23:43:54.709071+00,12
assessment_9,8,student3,4,mentor3,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,54,2026-06-01 23:43:54.709071+00,61,2026-06-23 23:43:54.709071+00,7
assessment_10,8,student3,4,mentor3,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,52,2026-06-01 23:43:54.709071+00,56,2026-06-23 23:43:54.709071+00,4
assessment_11,8,student3,4,mentor3,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,61,2026-06-23 23:43:54.709071+00,62,2026-07-15 23:43:54.709071+00,1
assessment_12,8,student3,4,mentor3,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,56,2026-06-23 23:43:54.709071+00,53,2026-07-15 23:43:54.709071+00,-3
assessment_13,9,student4,5,mentor4,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,53,2026-06-01 23:43:54.709071+00,63,2026-06-23 23:43:54.709071+00,10
assessment_14,9,student4,5,mentor4,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,49,2026-06-01 23:43:54.709071+00,57,2026-06-23 23:43:54.709071+00,8
assessment_15,9,student4,5,mentor4,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,63,2026-06-23 23:43:54.709071+00,63,2026-07-15 23:43:54.709071+00,0
assessment_16,9,student4,5,mentor4,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,57,2026-06-23 23:43:54.709071+00,68,2026-07-15 23:43:54.709071+00,11
assessment_17,10,student5,2,mentor1,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,59,2026-06-01 23:43:54.709071+00,68,2026-06-23 23:43:54.709071+00,9
assessment_18,10,student5,2,mentor1,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,55,2026-06-01 23:43:54.709071+00,55,2026-06-23 23:43:54.709071+00,0
assessment_19,10,student5,2,mentor1,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,68,2026-06-23 23:43:54.709071+00,72,2026-07-15 23:43:54.709071+00,4
assessment_20,10,student5,2,mentor1,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,55,2026-06-23 23:43:54.709071+00,66,2026-07-15 23:43:54.709071+00,11
assessment_21,11,student6,3,mentor2,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,58,2026-06-01 23:43:54.709071+00,61,2026-06-23 23:43:54.709071+00,3
assessment_22,11,student6,3,mentor2,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,57,2026-06-01 23:43:54.709071+00,60,2026-06-23 23:43:54.709071+00,3
assessment_23,11,student6,3,mentor2,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,61,2026-06-23 23:43:54.709071+00,66,2026-07-15 23:43:54.709071+00,5
assessment_24,11,student6,3,mentor2,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,60,2026-06-23 23:43:54.709071+00,66,2026-07-15 23:43:54.709071+00,6
assessment_25,12,student7,4,mentor3,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,60,2026-06-01 23:43:54.709071+00,67,2026-06-23 23:43:54.709071+00,7
assessment_26,12,student7,4,mentor3,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,60,2026-06-01 23:43:54.709071+00,60,2026-06-23 23:43:54.709071+00,0
assessment_27,12,student7,4,mentor3,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,67,2026-06-23 23:43:54.709071+00,70,2026-07-15 23:43:54.709071+00,3
assessment_28,12,student7,4,mentor3,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,60,2026-06-23 23:43:54.709071+00,61,2026-07-15 23:43:54.709071+00,1
assessment_29,13,student8,5,mentor4,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,69,2026-06-01 23:43:54.709071+00,69,2026-06-23 23:43:54.709071+00,0
assessment_30,13,student8,5,mentor4,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,66,2026-06-01 23:43:54.709071+00,69,2026-06-23 23:43:54.709071+00,3
assessment_31,13,student8,5,mentor4,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,69,2026-06-23 23:43:54.709071+00,79,2026-07-15 23:43:54.709071+00,10
assessment_32,13,student8,5,mentor4,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,69,2026-06-23 23:43:54.709071+00,75,2026-07-15 23:43:54.709071+00,6
assessment_33,14,student9,2,mentor1,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,74,2026-06-01 23:43:54.709071+00,72,2026-06-23 23:43:54.709071+00,-2
assessment_34,14,student9,2,mentor1,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,63,2026-06-01 23:43:54.709071+00,73,2026-06-23 23:43:54.709071+00,10
assessment_35,14,student9,2,mentor1,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,72,2026-06-23 23:43:54.709071+00,74,2026-07-15 23:43:54.709071+00,2
assessment_36,14,student9,2,mentor1,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,73,2026-06-23 23:43:54.709071+00,75,2026-07-15 23:43:54.709071+00,2
assessment_37,15,student10,3,mentor2,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,46,2026-06-01 23:43:54.709071+00,47,2026-06-23 23:43:54.709071+00,1
assessment_38,15,student10,3,mentor2,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,38,2026-06-01 23:43:54.709071+00,47,2026-06-23 23:43:54.709071+00,9
assessment_39,15,student10,3,mentor2,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,47,2026-06-23 23:43:54.709071+00,54,2026-07-15 23:43:54.709071+00,7
assessment_40,15,student10,3,mentor2,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,47,2026-06-23 23:43:54.709071+00,45,2026-07-15 23:43:54.709071+00,-2
assessment_41,16,student11,4,mentor3,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,49,2026-06-01 23:43:54.709071+00,48,2026-06-23 23:43:54.709071+00,-1
assessment_42,16,student11,4,mentor3,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,39,2026-06-01 23:43:54.709071+00,47,2026-06-23 23:43:54.709071+00,8
assessment_43,16,student11,4,mentor3,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,48,2026-06-23 23:43:54.709071+00,57,2026-07-15 23:43:54.709071+00,9
assessment_44,16,student11,4,mentor3,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,47,2026-06-23 23:43:54.709071+00,48,2026-07-15 23:43:54.709071+00,1
assessment_45,17,student12,5,mentor4,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,47,2026-06-01 23:43:54.709071+00,49,2026-06-23 23:43:54.709071+00,2
assessment_46,17,student12,5,mentor4,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,49,2026-06-01 23:43:54.709071+00,54,2026-06-23 23:43:54.709071+00,5
assessment_47,17,student12,5,mentor4,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,49,2026-06-23 23:43:54.709071+00,63,2026-07-15 23:43:54.709071+00,14
assessment_48,17,student12,5,mentor4,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,54,2026-06-23 23:43:54.709071+00,60,2026-07-15 23:43:54.709071+00,6
assessment_49,18,student13,2,mentor1,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,56,2026-06-01 23:43:54.709071+00,58,2026-06-23 23:43:54.709071+00,2
assessment_50,18,student13,2,mentor1,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,52,2026-06-01 23:43:54.709071+00,53,2026-06-23 23:43:54.709071+00,1
assessment_51,18,student13,2,mentor1,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,58,2026-06-23 23:43:54.709071+00,65,2026-07-15 23:43:54.709071+00,7
assessment_52,18,student13,2,mentor1,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,53,2026-06-23 23:43:54.709071+00,54,2026-07-15 23:43:54.709071+00,1
assessment_53,19,student14,3,mentor2,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,59,2026-06-01 23:43:54.709071+00,58,2026-06-23 23:43:54.709071+00,-1
assessment_54,19,student14,3,mentor2,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,53,2026-06-01 23:43:54.709071+00,56,2026-06-23 23:43:54.709071+00,3
assessment_55,19,student14,3,mentor2,Coding Assessment,coding,2026-07-07 00:28:54.709071+00,58,2026-06-23 23:43:54.709071+00,55,2026-07-15 23:43:54.709071+00,-3
assessment_56,19,student14,3,mentor2,Aptitude Assessment,aptitude,2026-07-07 00:28:54.709071+00,56,2026-06-23 23:43:54.709071+00,60,2026-07-15 23:43:54.709071+00,4
assessment_57,20,student15,4,mentor3,Coding Assessment,coding,2026-06-07 00:28:54.709071+00,56,2026-06-01 23:43:54.709071+00,64,2026-06-23 23:43:54.709071+00,8
assessment_58,20,student15,4,mentor3,Aptitude Assessment,aptitude,2026-06-07 00:28:54.709071+00,51,2026-06-01 23:43:54.709071+00,55,2026-06-23 23:43:54.709071+00,4
